lei,lender_name,w_apps,b_apps,w_denial_rate,b_denial_rate,disparity_ratio,denial_gap_pp
549300LYRWPSYPK6S325,Lender_K6S325,88,70,0.09090909090909094,0.1428571428571429,1.5714285714285714,5.1948051948051965
549300MCIFZSDHUT8X63,Lender_UT8X63,325,205,0.024615384615384595,0.034146341463414664,1.387195121951222,0.953095684803007
549300MGPZBLQDIL7538,Lender_IL7538,752,305,0.017287234042553168,0.06885245901639347,3.982849936948305,5.156522497384031
549300NQA30MEKPQP417,Lender_PQP417,99,94,0.0505050505050505,0.15957446808510634,3.159574468085106,10.906941758005583
549300PL8ER6H23P0Z91,BAY EQUITY LLC,182,79,0.01098901098901095,0.05063291139240511,4.607594936708882,3.964390040339416
549300RN01LBYR8ZVX74,Lender_8ZVX74,128,186,0.0625,0.17204301075268813,2.75268817204301,10.954301075268813
549300U3721PJGQZYY68,Lender_QZYY68,375,140,0.02400000000000002,0.09999999999999998,4.166666666666662,7.599999999999996
549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, LLC",206,128,0.004854368932038833,0.0390625,8.046875000000004,3.4208131067961167
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",246,152,0.016260162601625994,0.11184210526315785,6.878289473684218,9.558194266153187
B4TYDEB6GKMZO031MB27,Lender_31MB27,326,232,0.22085889570552142,0.30603448275862066,1.3856561302681996,8.517558705309924
C5654JQHZUHN0772B561,Lender_72B561,91,57,0.1648351648351648,0.38596491228070173,2.341520467836258,22.112974744553693
DZC62HF6UIZYJ08V1J90,"Fulton Bank, National Association",86,55,0.03488372093023251,0.36363636363636365,10.42424242424244,32.875264270613116
E57ODZWZ7FF32TWEFA76,"Citibank, National Association",241,51,0.008298755186721962,0.13725490196078427,16.539215686274563,12.89561467740623
IUGPUX5LWRZ3B6KIZ697,Lender_KIZ697,201,116,0.01990049751243783,0.07758620689655171,3.8987068965517198,5.768570938411388
JJKC32MCHWDI71265Z06,Lender_265Z06,530,153,0.0811320754716981,0.1895424836601307,2.3362213102295186,10.841040818843261
KB1H1DSPRFMYMCUFXT09,Lender_UFXT09,359,102,0.09749303621169914,0.23529411764705888,2.4134453781512617,13.780108143535974
QGPGHQ1ENZOOLJRFTH41,"WesBanco Bank, Inc.",51,69,0.039215686274509776,0.17391304347826086,4.434782608695655,13.469735720375109
RVDPPPGHCGZ40J4VQ731,Lender_4VQ731,158,112,0.09493670886075944,0.2767857142857143,2.915476190476192,18.184900542495484
WWB2V0FCW3A0EE3ZJN75,Manufacturers and Traders Trust Company,74,50,0.04054054054054057,0.30000000000000004,7.399999999999996,25.945945945945947
